Island,Island_Area,Island_prod
Ainsley,529.230537,0.03822
Aviation,42787.2301,0.000038509
Castor,3108.44716,0.00702
Dudley,12339.02098,0.050041369
Eastern,130108.5411,0.033489293
Engineer,83307.33876,0.004085589
Fern,5253.821123,0.00304
Frigate,9165.673857,0.04369
Holei,159473.782,0.00870785
Home,15255.32058,0.02302927
Home NE,2918,0.02302927
Home SW,8489,0.02302927
Kaula,200589.1902,0.002649978
Leslie,9611.552361,0.04903067
Lost,3431.913421,0.0535
North Fighter,68891.7071,0.02784
NS Causeway,39629.59652,0.03264
Papala,75611.75882,0.020398177
Paradise,93731.24105,0.003214676
Pollucks,1795.48553,
Portsmouth,7897.309848,0.046779
Sacia,2545.61257,0.040032
Sand,80225.39568,0.05018303
South Fighter,92342.90126,
Strawn,86051,
Whipoorwill,16334.53982,0.013002927
