Island,Year,ID,Length_mm,Mass_g,
Ainsley,2009,1,21.3,0.6,
Aviation,2009,1,17.4,0.3,
Aviation,2009,2,18.1,0.36,
Aviation,2009,3,12.4,0.11,
Aviation,2009,4,18.2,0.36,
Aviation,2009,5,15.9,0.26,
Aviation,2009,6,16.1,0.25,
Aviation,2009,7,15.3,0.15,
Aviation,2009,8,17.5,0.35,
Aviation,2009,9,9.8,0.05,
Dudley,2009,1,21.7,0.62,
Dudley,2009,2,17.7,0.29,
Dudley,2009,3,17.1,0.39,
Dudley,2009,4,19.5,0.4,
Dudley,2009,5,19.1,0.4,
Dudley,2009,6,17.8,0.35,
Dudley,2009,7,12.2,0.11,
Dudley,2009,8,25.5,0.98,
Dudley,2009,9,14,0.19,
Dudley,2009,10,12.3,0.1,
Dudley,2009,11,11.9,0.09,
Dudley,2009,12,21.4,0.52,
Dudley,2009,13,17.6,0.29,
Eastern,2009,1,23,0.78,
Eastern,2009,2,18.3,0.31,
Eastern,2009,3,16.7,0.24,
Eastern,2009,4,16.4,0.21,
Eastern,2009,5,20.9,0.46,
Eastern,2009,6,21.4,0.47,
Eastern,2009,7,21.3,0.5,
Eastern,2009,8,16,0.24,
Eastern,2009,9,15.7,0.23,
Eastern,2009,10,15.9,0.19,
Frigate,2009,1,9.2,0.05,
Frigate,2009,2,16,0.25,
Frigate,2009,3,10,0.08,
Frigate,2009,4,12.5,0.1,
Holei,2009,1,13.6,0.14,
Holei,2009,2,15.7,0.26,
Holei,2009,3,12.9,0.13,
Holei,2009,4,15.7,0.23,
Holei,2009,5,11.4,0.08,
Holei,2009,6,13.1,0.13,
Holei,2009,7,17.9,0.33,
Holei,2009,8,12.4,0.1,
Holei,2009,9,17.7,0.35,
Holei,2009,10,10.7,0.07,
Home,2009,1,14.9,0.18,
Home,2009,2,13.7,0.13,
Home,2009,3,13.9,0.13,
Home,2009,4,20,0.54,
Home,2009,5,17.8,0.4,
Home,2009,6,15.5,0.19,
Home,2009,7,15.1,0.23,
Home,2009,8,10,0.06,
Home,2009,9,16.6,0.27,
Home,2009,10,12.3,0.11,
Home,2009,11,12.4,0.1,
Kaula,2009,1,14.2,0.14,
Kaula,2009,2,8.6,0.04,
Kaula,2009,3,16.8,0.3,
Kaula,2009,4,14,0.17,
Kaula,2009,5,13.8,0.18,
Kaula,2009,6,13.2,0.14,
Kaula,2009,7,14,0.18,
Kaula,2009,8,16.8,0.36,
Kaula,2009,9,11.5,0.08,
Lost,2009,1,14.6,0.2,
Lost,2009,2,15.3,0.22,
Lost,2009,3,20.8,0.51,
Lost,2009,4,21.1,0.46,
Lost,2009,5,10.1,0.06,
Lost,2009,6,15.6,0.23,
Lost,2009,7,13.4,0.16,
Lost,2009,8,17.5,0.21,
Lost,2009,9,12.7,0.12,
Lost,2009,10,18.2,0.42,
Lost,2009,11,15.5,0.27,
Lost,2009,12,27.5,1.62,
North Fighter,2009,1,14.9,0.2,
North Fighter,2009,2,16.1,0.26,
North Fighter,2009,3,9.5,0.05,
North Fighter,2009,4,13.6,0.17,
North Fighter,2009,5,15.3,0.24,
North Fighter,2009,6,12.5,0.13,
North Fighter,2009,7,15.8,0.29,
North Fighter,2009,8,18.9,0.41,
North Fighter,2009,9,13.8,0.16,
North Fighter,2009,10,15.4,0.21,
Paradise,2009,1,16.4,0.23,
Paradise,2009,2,14.7,0.21,
Paradise,2009,3,15.1,0.2,
Paradise,2009,4,12.5,0.12,
Paradise,2009,5,16.2,0.2,
Paradise,2009,6,10.6,0.07,
Paradise,2009,7,16.8,0.27,
Paradise,2009,8,11.9,0.07,
Paradise,2009,9,9.9,0.06,
Paradise,2009,10,15.7,0.24,
Portsmouth,2009,1,18.9,0.31,
Portsmouth,2009,2,17.3,0.27,
Portsmouth,2009,3,20.7,0.4,
Portsmouth,2009,4,23.4,0.63,
Sand,2009,1,20,0.53,
Sand,2009,2,20.6,0.53,
Sand,2009,3,21.8,0.51,
Sand,2009,4,18.3,0.3,
Sand,2009,5,20.2,0.42,
Sand,2009,6,17.3,0.22,
Sand,2009,7,20.1,0.46,
Sand,2009,8,17.3,0.32,
Sand,2009,9,19.6,0.5,
Sand,2009,10,18,0.37,
South Fighter,2009,1,15.3,0.21,
South Fighter,2009,2,14.2,0.24,
South Fighter,2009,3,21.2,0.58,
South Fighter,2009,4,14.4,0.22,
South Fighter,2009,5,16.3,0.23,
South Fighter,2009,6,18.3,0.37,
South Fighter,2009,7,17.9,0.31,
South Fighter,2009,8,12,0.12,
South Fighter,2009,9,17.1,0.32,
South Fighter,2009,10,10.4,0.07,
