Species,Date,Island name,Wt (mg),Amp(V),Amp(V),Wt. % N,Wt. % C,d15N,d13C,C:N
Asplenium,2012,Frigate,2.20,1.39,3.32,3.30,40.54,13.59,-24.04,14.33
Cocos,2009,Eastern,1.132,0.829,4.258,3.85,42.06,14.39,-21.67,12.74
Cocos,2009,Eastern,1.156,0.488,4.33,2.24,41.87,12.33,-23.8,21.77
Cocos,2009,Eastern,1.272,0.846,5.222,3.47,46.61,14.25,-22.52,15.65
Cocos,2009,Eastern,1.132,0.829,4.258,3.85,42.06,14.39,-21.67,12.74
Cocos,2009,Eastern,1.156,0.488,4.33,2.24,41.87,12.33,-23.8,21.77
Cocos,2009,Lost,1.256,0.985,4.671,4.09,41.5,16.26,-21.48,11.85
Cocos,2009,Lost,0.978,0.678,3.709,3.68,42.24,15.87,-20.97,13.38
Cocos,2009,Lost,1.251,0.65,4.417,2.73,39.35,16.57,-21.25,16.8
Cocos,2009,Lost,1.055,0.524,4.171,2.65,43.7,16.3,-22.31,19.2
Cocos,2009,Lost,1.256,0.985,4.671,4.09,41.5,16.26,-21.48,11.85
Cocos,2009,Lost,0.978,0.678,3.709,3.68,42.24,15.87,-20.97,13.38
Cocos,2009,Lost,1.251,0.65,4.417,2.73,39.35,16.57,-21.25,16.8
Cocos,2009,Lost,1.055,0.524,4.171,2.65,43.7,16.3,-22.31,19.2
Cocos,2009,Paradise,1.126,0.764,5.176,3.52,51.49,11.78,-24.28,17.05
Cocos,2009,Paradise,1.208,0.695,4.436,3.03,41.21,12.22,-23.14,15.86
Cocos,2009,Paradise,1.027,0.7,3.946,3.59,42.62,12.04,-22.3,13.86
Cocos,2009,Paradise,1.035,0.788,4.706,3.98,50.72,10.14,-24.03,14.87
Cocos,2009,Paradise,0.939,0.577,4.604,3.21,54.59,11.54,-24.34,19.81
Cocos,2009,Paradise,1.126,0.764,5.176,3.52,51.49,11.78,-24.28,17.05
Cocos,2009,Paradise,1.208,0.695,4.436,3.03,41.21,12.22,-23.14,15.86
Cocos,2009,Paradise,1.027,0.7,3.946,3.59,42.62,12.04,-22.3,13.86
Cocos,2009,Paradise,1.035,0.788,4.706,3.98,50.72,10.14,-24.03,14.87
