Operator:  ,DAM,,,He:  ,14.0,,,,,,,,,,,
Description:  ,Algae,,,CO2:  ,13.0,,,,,,,,,,,
Comment:  ,H. Young,,,N2:  ,15.0,,,,,,,,,,,
Note: Algae could contain carbonate making the d13C a total carbon signal,,,,,,,,,,,,,,,,
Date,ID#1,ID#2,ID#3,Wt (mg),Amp(V),Amp(V),Wt. % N,Wt. % C,d15N,d13C,C:N,Run,,,,
,,,,,N,C,,,Air,PDB,Atomic,,,,,
05/06/09,31,Algae,Palmyra,4.960,1.026,4.939,0.97,17.57,8.53,-9.16,21.08,36,,,,
05/06/09,33,Algae,Palmyra,4.773,1.173,5.023,1.14,18.63,7.41,-9.89,19.10,37,,,,
05/06/09,34,Algae,Palmyra,4.790,1.603,5.671,1.54,21.58,7.03,-10.36,16.30,11,,,,
05/06/09,35,Algae,Palmyra,5.004,0.685,6.215,0.63,23.24,8.22,-8.10,43.32,12,,,,
05/06/09,36,Algae,Palmyra,4.873,0.709,4.602,0.68,16.34,7.73,-6.16,28.18,13,,,,
05/06/09,37,Algae,Palmyra,4.827,0.695,7.020,0.66,24.88,8.47,-33.34,44.22,14,,,,
05/06/09,38,Algae,Palmyra,5.014,0.892,6.715,0.81,25.13,8.87,-12.14,36.16,15,,,,
05/06/09,39,Algae,Palmyra,4.735,0.550,7.277,0.52,29.47,8.34,-14.90,66.09,16,,,,
05/06/09,40,Algae,Palmyra,4.915,0.537,6.814,0.49,25.58,7.77,-16.57,60.55,17,,,,
05/06/09,41,Algae,Palmyra,5.103,0.786,4.250,0.68,1.90,8.86,4.64,3.24,18,,,,
05/06/09,42,Algae,Palmyra,4.620,0.946,5.682,0.94,22.34,8.28,-9.44,27.73,19,,,,
05/06/09,43,Algae,Palmyra,4.803,0.673,1.865,0.63,1.74,8.27,4.64,3.24,20,,,,
05/06/09,44,Algae,Palmyra,4.705,0.799,5.443,0.78,20.88,8.80,-7.65,31.29,21,,,,
05/06/09,47,Algae,Palmyra,5.076,0.551,7.182,0.48,26.98,8.33,-15.96,64.88,25,,,,
05/06/09,48,Algae,Palmyra,5.040,0.725,6.819,0.65,25.84,8.99,-13.50,46.27,26,,,,
05/06/09,49,Algae,Palmyra,4.688,0.873,4.886,0.86,18.30,7.74,-8.42,24.77,27,,,,
05/06/09,50,Algae,Palmyra,4.700,1.279,5.551,1.26,21.46,8.53,-10.26,19.88,28,,,,
05/06/09,51,Algae,Palmyra,4.974,1.129,5.156,1.04,18.42,8.29,-8.32,20.73,29,,,,
05/06/09,52,Algae,Palmyra,4.709,0.554,4.240,0.54,15.31,9.30,-6.29,32.93,30,,,,
05/06/09,53,Algae,Palmyra,5.144,0.583,7.185,0.52,27.49,9.39,-10.08,61.59,31,,,,
05/06/09,55,Algae,Palmyra,4.840,0.573,6.472,0.54,25.72,9.23,-8.70,55.64,32,,,,
05/06/09,56,Algae,Palmyra,4.768,0.648,5.641,0.62,21.56,9.00,-7.92,40.34,33,,,,
05/06/09,57,Algae,Palmyra,4.763,0.521,7.081,0.50,28.47,8.41,-15.16,66.75,34,,,,
05/06/09,58,Algae,Palmyra,4.838,0.532,6.891,0.51,27.78,8.91,-9.07,64.06,35,,,,
06/29/09,CYCL1,homog-cladoph,Cocos Y,3.586,0.407,3.213,0.55,13.93,14.57,-4.64,29.68,9,,,,
06/29/09,CYCL2,homog-cladoph,Cocos Y,3.636,0.578,3.477,0.77,15.01,14.36,-6.71,22.84,10,,,,
06/29/09,CYCL3,homog-cladoph,Cocos Y,3.504,0.498,3.372,0.69,15.07,14.68,-6.03,25.55,11,,,,
06/29/09,CYCL4,homog-cladoph,Cocos Y,3.625,0.550,3.413,0.73,14.82,14.76,-6.59,23.53,12,,,,
06/29/09,CYCL5,homog-cladoph,Cocos Y,3.435,0.567,3.338,0.80,15.28,14.47,-6.63,22.38,13,,,,
06/29/09,PYCL1,homog-cladoph,Pisonia Y,3.609,0.287,3.057,0.39,13.23,10.25,-4.21,39.41,14,,,,
06/29/09,PYCL2,homog-cladoph,Pisonia Y,3.458,0.336,3.059,0.47,13.77,11.72,-4.32,33.83,15,,,,
06/29/09,PYCL3,homog-cladoph,Pisonia Y,3.487,0.483,3.293,0.68,14.81,11.28,-6.29,25.50,16,,,,
06/29/09,PYCL4,homog-cladoph,Pisonia Y,3.419,0.431,3.129,0.62,14.36,11.28,-5.90,27.18,17,,,,
