Operator:  ,DAM,,,He:  ,14.0,,,,,,,,,,,
Description:  ,Guano,,,CO2:  ,13.0,,,,,,,,,,,
Comment:  ,H. Young,,,N2:  ,15.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,ID#1,ID#2,ID#3,Wt (mg),Amp(V),Amp(V),Wt. % N,Wt. % C,d15N,d13C,C:N,Run,,,,
,,,,,N,C,,,Air,PDB,Atomic,,,,,
04/30/09,2,G,Guano,0.178,0.776,1.538,17.71,56.97,12.69,-15.37,3.75,44,,,,
04/30/09,3,G,Guano,0.177,0.128,0.283,3.03,10.41,9.76,-19.39,4.01,45,,,,
04/30/09,5,G,Guano,0.169,2.364,,55.65,,0.56,,,9,,,,
04/30/09,6,G,Guano,0.183,,3.847,,140.30,,-16.06,,14,,,,
04/30/09,7,G,Guano,0.139,0.143,0.333,4.39,15.71,10.94,-18.97,4.17,25,,,,
04/30/09,8,G,Guano,0.172,0.113,0.472,2.70,18.87,7.68,-18.93,8.16,29,,,,
04/30/09,9,G,Guano,0.172,0.079,0.271,1.97,10.45,8.39,-20.72,6.17,30,,,,
04/30/09,10,G,Guano,0.197,0.144,0.315,3.12,10.48,14.44,-19.14,3.92,31,,,,
04/30/09,11,G,Guano,0.192,0.118,0.303,2.60,10.33,9.49,-19.46,4.64,32,,,,
04/30/09,12,G,Guano,0.165,0.131,0.381,3.33,15.12,6.72,-21.26,5.29,33,,,,
04/30/09,13,G,Guano,0.184,0.137,0.322,3.17,11.40,4.57,-20.88,4.20,34,,,,
04/30/09,14,G,Guano,0.194,0.162,0.390,3.47,13.19,8.04,-20.59,4.43,35,,,,
04/30/09,15,G,Guano,0.179,0.151,0.321,3.54,11.75,9.54,-19.66,3.87,36,,,,
04/30/09,16,G,Guano,0.157,0.164,0.315,4.39,13.12,10.03,-19.48,3.49,37,,,,
04/30/09,17,G,Guano,0.209,0.157,0.344,3.11,10.79,8.62,-19.41,4.05,38,,,,
04/30/09,18,G,Guano,0.197,0.116,0.257,2.52,8.42,7.78,-19.47,3.90,39,,,,
04/30/09,19,G,Guano,0.183,0.104,0.256,2.40,9.08,9.60,-19.02,4.40,40,,,,
04/30/09,20,G,Guano,0.168,0.144,0.360,3.63,14.01,9.29,-20.39,4.50,41,,,,
04/30/09,21,G,Guano,0.183,0.108,0.288,2.45,10.19,8.93,-19.45,4.86,42,,,,
04/30/09,22,G,Guano,0.156,0.125,0.327,3.35,13.63,10.58,-19.63,4.75,43,,,,
04/30/09,195,G,Guano,0.195,0.167,0.407,3.49,13.62,9.30,-19.98,4.55,46,,,,
05/01/09,Guano,Guano,Guano,0.349,0.184,0.428,2.48,9.34,7.77,-19.18,4.39,42,,,,
05/01/09,Guano,Guano,Guano,0.334,0.189,0.396,2.62,9.03,12.89,-19.44,4.02,43,,,,
05/01/09,Guano,Guano,Guano,0.302,0.151,0.321,2.33,8.08,11.48,-18.77,4.05,44,,,,
05/01/09,Guano,Guano,Guano,0.358,0.184,0.433,2.43,9.25,9.66,-19.38,4.44,45,,,,
05/01/09,Guano,Guano,Guano,0.407,0.218,0.419,2.51,7.85,12.13,-18.29,3.65,46,,,,
05/01/09,Guano,Guano,Guano,0.349,0.188,0.683,2.50,14.89,14.89,-20.09,6.93,36,,,,
05/01/09,Guano,Guano,Guano,0.373,0.153,0.316,1.93,6.45,13.13,-18.04,3.91,38,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
